settlement_name,settlement_type,hromada_name,raion_name,oblast_name,lat_center,lon_center,rank,is_center,coord_src,coord_src
Снятин,місто,Снятинська,Коломийський,Івано-Франківська,48.451189,25.571111,0,1,settlement,settlement
Косів,місто,Косівська,Косівський,Івано-Франківська,48.320940,25.092632,0,1,settlement,settlement
Надвірна,місто,Надвірнянська,Надвірнянський,Івано-Франківська,48.625375,24.573037,0,1,settlement,settlement
Яремче,місто,Яремчанська,Надвірнянський,Івано-Франківська,48.448930,24.552394,0,1,settlement,settlement
Біла Церква,місто,Білоцерківська,Білоцерківський,Київська,49.795806,30.117269,0,1,settlement,settlement
Сквира,місто,Сквирська,Білоцерківський,Київська,49.731728,29.666287,0,1,settlement,settlement
Тараща,місто,Таращанська,Білоцерківський,Київська,49.561030,30.506158,0,1,settlement,settlement
Тетіїв,місто,Тетіївська,Білоцерківський,Київська,49.370944,29.689248,0,1,settlement,settlement
Узин,місто,Узинська,Білоцерківський,Київська,49.828470,30.419740,0,1,settlement,settlement
Бориспіль,місто,Бориспільська,Бориспільський,Київська,50.348196,30.956142,0,1,settlement,settlement
Переяслав,місто,Переяславська,Бориспільський,Київська,50.0643984,31.4447327,0,1,hromada,hromada
Яготин,місто,Яготинська,Бориспільський,Київська,50.283244,31.760970,0,1,settlement,settlement
Березань,місто,Березанська,Броварський,Київська,50.328304,31.500989,0,1,settlement,settlement
Бровари,місто,Броварська,Броварський,Київська,50.511079,30.790897,0,1,settlement,settlement
Буча,місто,Бучанська,Бучанський,Київська,50.551388,30.214684,0,1,settlement,settlement
Вишневе,місто,Вишнева,Бучанський,Київська,50.391856,30.370540,0,1,settlement,settlement
Ірпінь,місто,Ірпінська,Бучанський,Київська,50.524635,30.237301,0,1,settlement,settlement
Вишгород,місто,Вишгородська,Вишгородський,Київська,50.583216,30.485659,0,1,settlement,settlement
Славутич,місто,Славутицька,Вишгородський,Київська,51.515412,30.752916,0,1,settlement,settlement
Богуслав,місто,Богуславська,Обухівський,Київська,49.547892,30.873982,0,1,settlement,settlement
Васильків,місто,Васильківська,Обухівський,Київська,50.179541,30.313164,0,1,settlement,settlement
Кагарлик,місто,Кагарлицька,Обухівський,Київська,49.865304,30.822886,0,1,settlement,settlement
Миронівка,місто,Миронівська,Обухівський,Київська,49.658860,30.981484,0,1,settlement,settlement
Обухів,місто,Обухівська,Обухівський,Київська,50.111406,30.627000,0,1,settlement,settlement
Ржищів,місто,Ржищівська,Обухівський,Київська,49.961748,31.043477,0,1,settlement,settlement
Українка,місто,Українська,Обухівський,Київська,50.149841,30.747841,0,1,settlement,settlement
Боярка,місто,Боярська,Фастівський,Київська,50.327953,30.292171,0,1,settlement,settlement
Фастів,місто,Фастівська,Фастівський,Київська,50.078738,29.914914,0,1,settlement,settlement
Благовіщенське,місто,Благовіщенська,Голованівський,Кіровоградська,48.330028,30.232109,0,1,settlement,settlement
Гайворон,місто,Гайворонська,Голованівський,Кіровоградська,48.340581,29.866441,0,1,settlement,settlement
Бобринець,місто,Бобринецька,Кропивницький,Кіровоградська,48.057671,32.158160,0,1,settlement,settlement
Долинська,місто,Долинська,Кропивницький,Кіровоградська,48.110784,32.764676,0,1,settlement,settlement
Знам’янка,місто,Знам’янська,Кропивницький,Кіровоградська,48.7199609,32.6659476,0,1,hromada,hromada
Кропивницький,місто,Кропивницька,Кропивницький,Кіровоградська,48.507927,32.262311,0,1,settlement,settlement
Мала Виска,місто,Маловисківська,Новоукраїнський,Кіровоградська,48.640898,31.627301,0,1,settlement,settlement
Новомиргород,місто,Новомиргородська,Новоукраїнський,Кіровоградська,48.800193,31.651366,0,1,settlement,settlement
Новоукраїнка,місто,Новоукраїнська,Новоукраїнський,Кіровоградська,48.315536,31.526932,0,1,settlement,settlement
Помічна,місто,Помічнянська,Новоукраїнський,Кіровоградська,48.243192,31.406055,0,1,settlement,settlement
Олександрія,місто,Олександрійська,Олександрійський,Кіровоградська,48.674000,33.133129,0,1,settlement,settlement
Світловодськ,місто,Світловодська,Олександрійський,Кіровоградська,49.052446,33.205057,0,1,settlement,settlement
Алчевськ,місто,Алчевська,Алчевський,Луганська,48.4806933,38.792133294414555,0,1,hromada,hromada
Зимогір’я,місто,Зимогір’ївська,Алчевський,Луганська,48.5782151,38.9451299,0,1,hromada,hromada
Кадіївка,місто,Кадіївська,Алчевський,Луганська,48.5595971,38.6499847,0,1,hromada,hromada
Довжанськ,місто,Довжанська,Довжанський,Луганська,48.0811324,39.642561,0,1,hromada,hromada
Сорокине,місто,Сорокинська,Довжанський,Луганська,48.2951439,39.7296772,0,1,hromada,hromada
Луганськ,місто,Луганська,Луганський,Луганська,48.64418345,39.49485081756206,0,1,hromada,hromada
Лутугине,місто,Лутугинська,Луганський,Луганська,48.4008342,39.1981259,0,1,hromada,hromada
Молодогвардійськ,місто,Молодогвардійська,Луганський,Луганська,48.3459067,39.6524188,0,1,hromada,hromada
Антрацит,місто,Антрацитівська,Ровеньківський,Луганська,48.1164285,39.0886375,0,1,hromada,hromada
Ровеньки,місто,Ровеньківська,Ровеньківський,Луганська,48.0897987,39.368029,0,1,hromada,hromada
Хрустальний,місто,Хрустальненська,Ровеньківський,Луганська,48.1790971,38.8818684,0,1,hromada,hromada
Сватове,місто,Сватівська,Сватівський,Луганська,49.409276,38.162050,0,1,settlement,settlement
Гірське,місто,Гірська,Сєвєродонецький,Луганська,48.749856,38.500473,0,1,settlement,settlement
Кремінна,місто,Кремінська,Сєвєродонецький,Луганська,49.049943,38.221105,0,1,settlement,settlement
Лисичанськ,місто,Лисичанська,Сєвєродонецький,Луганська,48.915294,38.453446,0,1,settlement,settlement
Попасна,місто,Попаснянська,Сєвєродонецький,Луганська,48.633760,38.376577,0,1,settlement,settlement
Рубіжне,місто,Рубіжанська,Сєвєродонецький,Луганська,49.002754,38.374843,0,1,settlement,settlement
Сєвєродонецьк,місто,Сєвєродонецька,Сєвєродонецький,Луганська,48.957603,38.466130,0,1,settlement,settlement
Старобільськ,місто,Старобільська,Старобільський,Луганська,49.278199,38.912093,0,1,settlement,settlement
Щастя,місто,Щастинська,Щастинський,Луганська,48.738123,39.230291,0,1,settlement,settlement
Борислав,місто,Бориславська,Дрогобицький,Львівська,49.294448,23.428054,0,1,settlement,settlement
Дрогобич,місто,Дрогобицька,Дрогобицький,Львівська,49.355032,23.544071,0,1,settlement,settlement
Трускавець,місто,Трускавецька,Дрогобицький,Львівська,49.282713,23.512055,0,1,settlement,settlement
Броди,місто,Бродівська,Золочівський,Львівська,50.078050,25.154077,0,1,settlement,settlement
Буськ,місто,Буська,Золочівський,Львівська,49.968348,24.608467,0,1,settlement,settlement
Золочів,місто,Золочівська,Золочівський,Львівська,49.806196,24.896431,0,1,settlement,settlement
Бібрка,місто,Бібрська,Львівський,Львівська,49.635913,24.298449,0,1,settlement,settlement
Глиняни,місто,Глинянська,Львівський,Львівська,49.830695,24.513775,0,1,settlement,settlement
Городок,місто,Городоцька,Львівський,Львівська,49.782697,23.635807,0,1,settlement,settlement
Жовква,місто,Жовківська,Львівський,Львівська,50.054915,23.976592,0,1,settlement,settlement
Кам’янка-Бузька,місто,Кам’янка-Бузька,Львівський,Львівська,50.0987805,24.3569457,0,1,hromada,hromada
Комарно,місто,Комарнівська,Львівський,Львівська,49.627217,23.696447,0,1,settlement,settlement
Львів,місто,Львівська,Львівський,Львівська,49.839678,24.029709,0,1,settlement,settlement
Перемишляни,місто,Перемишлянська,Львівський,Львівська,49.670521,24.560012,0,1,settlement,settlement
Пустомити,місто,Пустомитівська,Львівський,Львівська,49.720454,23.905517,0,1,settlement,settlement
